port_code,port_name,district_code,district_name
3843,"ALPENA, MI",38,"DETROIT, MI"
3881,OAKLAND/PONTIAC AIRPORT,38,"DETROIT, MI"
3882,"WILLOW RUN AIRPORT, YPSILANTI, MI",38,"DETROIT, MI"
3883,"CAPITAL REGION INTL AIRPORT, LANSING, MI",38,"DETROIT, MI"
3901,"CHICAGO, IL",39,"CHICAGO, IL"
3902,"PEORIA, IL",39,"CHICAGO, IL"
3905,"GARY, IN",39,"CHICAGO, IL"
3908,"DAVENPORT, IA-ROCK ISLAND, IL",39,"CHICAGO, IL"
3909,"ROCKFORD AIRPORT, IL",39,"CHICAGO, IL"
3910,"CHICAGO MIDWAY INT'L AIRPORT, IL",39,"CHICAGO, IL"
3971,"TNT EXPRESS CONSIGNMENT, CHICAGO, IL",39,"CHICAGO, IL"
3983,"CHICAGO EXECUTIVE AIRPORT, IL",39,"CHICAGO, IL"
3984,"DUPAGE AIRPORT, IL",39,"CHICAGO, IL"
3987,"UFA UI WILLARD AIRPORT, SAVOY, IL",39,"CHICAGO, IL"
4101,"CLEVELAND, OH",41,"CLEVELAND, OH"
4102,"CINCINNATI, OH",41,"CLEVELAND, OH"
4103,"COLUMBUS, OH",41,"CLEVELAND, OH"
4104,"DAYTON, OH",41,"CLEVELAND, OH"
4105,"TOLEDO-SANDUSKY, OH",41,"CLEVELAND, OH"
4106,"ERIE, PA",41,"CLEVELAND, OH"
4110,"INDIANAPOLIS, IN",41,"CLEVELAND, OH"
4115,"LOUISVILLE, KY",41,"CLEVELAND, OH"
4116,"OWENSBORO-EVANSVILLE, KY",41,"CLEVELAND, OH"
4121,"LORAIN, OH",41,"CLEVELAND, OH"
4122,"ASHTABULA/CONNEAUT, OH",41,"CLEVELAND, OH"
4183,FORT WAYNE AIRPORT,41,"CLEVELAND, OH"
4184,BLUE GRASS AIRPORT,41,"CLEVELAND, OH"
4196,UPS COURIER,41,"CLEVELAND, OH"
4197,"DHL CINCINNATI, OH",41,"CLEVELAND, OH"
4198,"FEDEX, INDIANAPOLIS, IN",41,"CLEVELAND, OH"
4501,"KANSAS CITY, MO",45,"ST. LOUIS, MO"
4502,"ST JOSEPH, MO",45,"ST. LOUIS, MO"
4503,"ST LOUIS, MO",45,"ST. LOUIS, MO"
4504,"WICHITA, KS",45,"ST. LOUIS, MO"
4505,"SPRINGFIELD, MO",45,"ST. LOUIS, MO"
4581,"MIDAMERICAN AIRPORT, IL",45,"ST. LOUIS, MO"
4671,"FEDEX ECCF, NEWARK, NJ",46,UNKNOWN
4901,"AGUADILLA, PR",49,"SAN JUAN, PR"
4904,"FAJARDO, PR",49,"SAN JUAN, PR"
4907,"MAYAGUEZ, PR",49,"SAN JUAN, PR"
4908,"PONCE, PR",49,"SAN JUAN, PR"
4909,"SAN JUAN, PR",49,"SAN JUAN, PR"
4913,"SAN JUAN INTL AIRPORT, PR",49,"SAN JUAN, PR"
4952,ST. THOMAS VI BORDER PATROL,49,"SAN JUAN, PR"
5101,"CHARLOTTE AMALIE, VI",51,U.S. VIRGIN ISLANDS
5102,"CRUZ BAY, VI",51,U.S. VIRGIN ISLANDS
5104,"CHRISTIANSTED, VI",51,U.S. VIRGIN ISLANDS
