shipper_norm,year,production_st,production_mt_equiv,vessel_calls_n,calls_with_tons,raw_exports_mt,annual_corr_factor,corrected_exports_mt,export_fraction_pct
ROSEBUD,2024,0.0,0.0,1.0,0.0,0.0,2.0641557547316407,0.0,
ROSEBUD,2025,0.0,0.0,1.0,1.0,80000.0,1.9886938064949435,159096.0,
ROSEBUD,2026,0.0,0.0,1.0,1.0,81000.0,1.8476221035807328,149657.0,
RWE,2024,0.0,0.0,2.0,0.0,0.0,2.0641557547316407,0.0,
SLOVENIA,2021,0.0,0.0,1.0,1.0,90000.0,2.232689430705837,200942.0,
SLOVENIA,2022,0.0,0.0,6.0,4.0,348749.0,1.9700504815059154,687053.0,
SLOVENIA,2023,0.0,0.0,6.0,4.0,349000.0,2.1102734257739506,736485.0,
SLOVENIA,2024,0.0,0.0,1.0,0.0,0.0,2.0641557547316407,0.0,
SOU MINERALS,2023,0.0,0.0,1.0,0.0,0.0,2.1102734257739506,0.0,
SOU MINERALS,2024,0.0,0.0,2.0,2.0,24893.0,2.0641557547316407,51383.0,
SOUMINERAL,2025,0.0,0.0,1.0,1.0,3931.0,1.9886938064949435,7818.0,
SOUMINERALS,2022,0.0,0.0,3.0,1.0,12000.0,1.9700504815059154,23641.0,
SOUMINERALS,2023,0.0,0.0,2.0,0.0,0.0,2.1102734257739506,0.0,
SOUMINERALS,2025,0.0,0.0,1.0,1.0,7315.0,1.9886938064949435,14547.0,
SOUTH KOREA,2022,0.0,0.0,1.0,0.0,0.0,1.9700504815059154,0.0,
SPAIN,2022,0.0,0.0,1.0,1.0,40000.0,1.9700504815059154,78802.0,
TAISHAN,2025,0.0,0.0,1.0,0.0,0.0,1.9886938064949435,0.0,
TO ORDER,2021,0.0,0.0,6.0,4.0,186978.0,2.232689430705837,417464.0,
TO ORDER,2022,0.0,0.0,8.0,5.0,260194.0,1.9700504815059154,512595.0,
TO ORDER,2023,0.0,0.0,5.0,4.0,95665.0,2.1102734257739506,201879.0,
TO ORDER,2024,0.0,0.0,3.0,2.0,148000.0,2.0641557547316407,305495.0,
