Carrier,Carrier Name,action,Group,Commodity,Cargo,CargoDetail
EHMW,EXECUTIVE SHIP MANAGEMENT PTE LTD,Exclude,,,,
EXMQ,EXMAR,Exclude,,,,
EXDO,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,Exclude,,,,
ECSP,EXPRESS CONSOLIDATION SYSTEMS CORP,Exclude,,,,
FALI,F A R LOGISTICS INCORPORATED,Exclude,,,,
FVAE,F V NORTH WIND INC,Exclude,,,,
FMAA,FALCON MARITIME AND AVIATION INC,Exclude,,,,
FCIF,FAN CHENG INTERNATIONAL TRANSPORTATION SERVICE CO LTD,Exclude,,,,
FNLI,FATTON LOGISTICS INC,Exclude,,,,
FCCJ,FCC LOGISTICS INC,Exclude,,,,
FEGW,FEDERATED MARITIME LLC,Exclude,,,,
FTNV,FEDEX LOGISTICS INC,Exclude,,,,
FDVG,FIBER DENIZCILIK VE GEMI ISLETMECILIGI TIC A S,Exclude,,,,
FVOL,FINAV ONE LIMITED,Exclude,,,,
FXLW,FLEX LNG LTD,Exclude,,,,
FMVD,FLYNN VENTURES LTD,Exclude,,,,
FMAL,FMA-LINE,Exclude,,,,
FMSW,FMS SEAWAYS AG,Exclude,,,,
FSGJ,FOPPIANI SHIPPING & LOGISTICS S R L,Exclude,,,,
FSIH,FOREST SHIPPING WORLDWIDE LIMTED,Exclude,,,,
FSDH,FORZINA SHIPPING COMPANY LIMITED,Exclude,,,,
FSMC,FOSS MARITIME COMPANY,Exclude,,,,
FSGT,FOUR SEASON LOGISTICS CORPORATION,Exclude,,,,
FEVM,FOUREVER INTERNATIONAL LIMITED,Exclude,,,,
FUPT,FRATOGO WORLDWIDE LLC,Exclude,,,,
FZLD,FREIGHTZEN LOGISTICS LTD,Exclude,,,,
FSIO,FSI CARGO CORP,Exclude,,,,
FFCY,FUTURE FORWARDING COMPANY,Exclude,,,,
FKCO,"FUYO KAIUN CO.,LTD",Exclude,,,,
GACK,GAC SHIPPING (USA) INC,Exclude,,,,
GLNL,GALENE LOGISTICS INC,Exclude,,,,
GBWQ,GEBRUDER WEISS INC,Exclude,,,,
GNMT,GENERAL NATIONAL MARITIME TRANSPORT COMPANY,Exclude,,,,
GLCA,GLC OCEAN LINES LIMITED,Exclude,,,,
GACM,GLOBAL AIR COMPASS MARINE LOGISTICS BV,Exclude,,,,
GBNS,GLOBAL LOGISTICS ASSOCIATES,Exclude,,,,
GMTQ,GLOBAL MARITIME TRUST (S) PTE LTD,Exclude,,,,
GBTR,GLOBAL TRADE & CUSTOMS INC,Exclude,,,,
GBOR,GLOBAL TRANSPORTATION CORPORATION,Exclude,,,,
GXPS,GLOBE EXPRESS SERVICES LTD,Exclude,,,,
GLQN,GLORIA MARIS S.A.,Exclude,,,,
GLVS,GLOVIS AMERICA INC,Exclude,,,,
GNFB,GNFB3 CO INC,Exclude,,,,
GOSA,GOL LLC,Exclude,,,,
GOLE,GOLDEN OCEAN LINE LTD,Exclude,,,,
GHAV,GPO HEAVYLIFT AS,Exclude,,,,
GHMS,GRAHAM SHIPPING CO,Exclude,,,,
GDHN,GRAIN DE SAIL SHIPPING,Exclude,,,,
GESL,GREAT EASTERN SHIPPING CO LTD,Exclude,,,,
GMCJ,GREENHEART MANAGEMENT,Exclude,,,,
