facility_id,dataset_source,source_record_id,source_name,source_address,source_city,source_county,source_lat,source_lng,distance_meters,name_similarity,match_confidence,match_method
MRTIS_0022,EPA_FRS,110032939854,MURPHY OIL USA INC.,BUY OUT ZONES,CHALMETTE,ST. BERNARD,29.941944,-89.941667,2082.3,0.067,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110063981419,"MURPHY OIL USA INC., MERAUX REFINERY",1615 EAST JUDGE PEREZ DRIVE,CHALMETTE,ST. BERNARD,29.93771,-89.94796,1880.9,0.435,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110064426045,SKILKENGOLD LLC,2500 ARCHBISHOP HANNA BLVD,MERAUX,ST. BERNARD,29.934115,-89.923488,1757.4,0.222,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110009017214,SPLASH OF ST BERNARD INC,UNKNOWN,CHALMETTE,ST. BERNARD,29.938889,-89.955,2416.8,0.389,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110070388575,"SPLASH TECH, LLC",922 E. JUDGE PEREZ DR.,CHALMETTE,ST. BERNARD,29.939667,-89.955927,2541.1,0.296,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110064615037,ST BERNARD PARISH SD#2 (MUNSTE,1111 E ST BERNARD HWY,MERAUX,ST. BERNARD,29.946111,-89.927778,2657.1,0.348,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110013011873,ST BERNARD PARISH WATERWORKS-2014 NEW SURFACE WATER TREATMENT PLANT,ST. BERNARD PARISH WATERWORKS,CHALMETTE,ST. BERNARD,29.932922,-89.956132,2101.8,0.145,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110009013655,ST. BERNARD PARISH GOVERNMENT - PORTABLE WATER PLANT,1111 E. ST BERNARD HWY,CHALMETTE,ST. BERNARD,29.932187,-89.957582,2187.8,0.239,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110003366349,ST. BERNARD PARISH WATER TREATMENT PLANT,1111 E. ST. BERNARD HIGHWAY,CHALMETTE,ST. BERNARD,29.932051,-89.956876,2120.0,0.218,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110022464162,SUN RISE PLAZA,4213 E. JUDGE PEREZ DR,MERAUX,ST. BERNARD,29.93522,-89.92181,1959.9,0.133,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110024585723,"TURN SERVICES, INC. - MERAUX FACILITY",LEFT DESC. BANK OF MISSISSIPPI RIVER AT MILE 86.4,MERAUX,ST. BERNARD,29.924444,-89.934167,300.0,0.426,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110055038659,VALERO REFINING - MERAUX LLC,1615 E. JUDGE PEREZ DR.,CHALMETTE,ST. BERNARD,29.93771,-89.94796,1880.9,0.4,LOW,spatial+fuzzy_name
MRTIS_0022,EPA_FRS,110064417652,WHITE-SPUNNER CONSTRUCTION INC.,2500 ARCHBISHOP HANNA BLVD,MERAUX,ST. BERNARD,29.934115,-89.923488,1757.4,0.256,LOW,spatial+fuzzy_name
