registry_id,fac_name,fac_street,fac_city,fac_state,fac_zip,fac_county,fac_epa_region,latitude,longitude,naics_code,facility_type
110070247353,SAN ANGELO 2,5235 OLD CHRISTOVAL RD,SAN ANGELO,TX,76904,TOM GREEN COUNTY,6.0,31.405986,-100.429936,327320,Ready-Mix Concrete
110071660964,TXM - WESTSIDE READY MIX,6070 PUE ROAD,SAN ANTONIO,TX,78245,BEXAR,6.0,29.37157,-98.691744,327320,Ready-Mix Concrete
110037519138,MARTIN MARIETTA MATERIALS - KIRBY,7010 LOOP 410 NE,SAN ANTONIO,TX,78219,BEXAR,6.0,29.454107,-98.403093,327320,Ready-Mix Concrete
110046424605,MONTGOMERY ROAD READYMIX,6215 WT MONTGOMERY,SAN ANTONIO,TX,78252,BEXAR COUNTY,6.0,29.371127,-98.738695,327320,Ready-Mix Concrete
110031275126,HIGHWAY 90 READY MIX 10,6070 PUE ROAD,SAN ANTONIO,TX,78245,BEXAR,6.0,29.371428,-98.691704,327320,Ready-Mix Concrete
110071660532,TXM - OCONNOR READY MIX,4303 N LOOP 1604 E,SAN ANTONIO,TX,78247,BEXAR,6.0,29.603415,-98.407383,327320,Ready-Mix Concrete
110071541877,SRM PLANT 14804 CREEKVIEW VOL,1030 CREEKVIEW,SAN ANTONIO,TX,78219,BEXAR,6.0,29.438796,-98.415469,327320,Ready-Mix Concrete
110071242244,"CEMEX CONSTRUCTION MATERIALS SOUTH, LLC - GRISSOM RM",8570 GRISSOM RD,SAN ANTONIO,TX,78251,BEXAR COUNTY,6.0,29.477144,-98.653298,327320,Ready-Mix Concrete
110056356811,BLUEWING READY MIX PLANT,12955 BLUE WING RD,SAN ANTONIO,TX,78223,BEXAR,6.0,29.295448,-98.420308,327320,Ready-Mix Concrete
110072003272,KNOWLTON PLANT,18164 FM 2252,SAN ANTONIO,TX,78266,COMAL,6.0,29.604866,-98.327034,327320,Ready-Mix Concrete
110071242246,"CEMEX CONSTRUCTION MATERIALS SOUTH, LLC - SEGUIN",326 SEGUIN ST,SAN ANTONIO,TX,78208,BEXAR COUNTY,6.0,29.43735,-98.45698,327320,Ready-Mix Concrete
110035329686,NAPCO PRECAST LLC,6949 LOW BID LN,SAN ANTONIO,TX,78250,BEXAR,6.0,29.503424,-98.642994,327320,Ready-Mix Concrete
110071541088,SRM PLANT 14123 SPECHT,255 W SPECHT RD,SAN ANTONIO,TX,78260,BEXAR,6.0,29.731388,-98.498611,327320,Ready-Mix Concrete
110055499642,HWY 211 READY MIX,9151 STATE HWY 211,SAN ANTONIO,TX,78254,BEXAR,6.0,29.56679,-98.79253,327320,Ready-Mix Concrete
110071657440,TXM - KIRBY READY MIX,7010 NE LOOP 410,SAN ANTONIO,TX,78219,BEXAR,6.0,29.4369,-98.4628,327320,Ready-Mix Concrete
110070070807,CREEKVIEW LOADING SITE,1030 CREEKVIEW DR,SAN ANTONIO,TX,78219,BEXAR COUNTY,6.0,29.43862,-98.41714,327320,Ready-Mix Concrete
110071710324,VENCRETE READY MIX,807 QUINTANA RD,SAN ANTONIO,TX,78211,BEXAR,6.0,29.382119,-98.551911,327320,Ready-Mix Concrete
